ID,SeasonCode,ProductCode,CycleCode,CountryCode,Biz_unit_Code,CatCode,SubCatCode,UnitBaseCode,GenderCode,GroupCode,ColourCode,First_Sale_Date,PVP,Dist_phase,Units_Sold,Stock
55B83012,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group2,Colour9,20160125,10.00,1,25,168,0
55B83D25,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour1,20160120,10.00,0,20,327,0
55B84B39,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group2,Colour1,20160201,10.00,1,57,226,0
55B85246,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase284,Gender2,Group2,Colour9,20160202,10.00,2,49,150,0
55B86565,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group2,Colour9,20160125,10.00,1,24,329,0
55B87278,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group2,Colour12,20160202,10.00,2,31,146,0
55C9C917,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase142,Gender1,Group8,Colour1,20160619,8.00,0,0,1,0
55CA0274,SeasonA_Y3,Product4,Cycle2,Country1,Biz_unit3,Cat3,SubCat10,UnitBase55,Gender2,Group2,Colour2,20160201,9.00,1,21,178,0
55CA1B99,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat41,UnitBase163,Gender1,Group8,Colour1,0,8.00,0,0,0,1
55CA4C48,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase142,Gender1,Group8,Colour11,20151229,8.00,0,23,317,0
55CA7B95,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat41,UnitBase143,Gender1,Group2,Colour2,20160126,8.00,2,21,95,0
55CA8202,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase159,Gender2,Group8,Colour2,0,8.00,0,0,0,1
55CA8F15,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase159,Gender2,Group8,Colour2,0,8.00,0,0,0,1
55CA9521,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase159,Gender2,Group8,Colour11,20160211,8.00,4,21,147,0
55CAC670,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat41,UnitBase163,Gender1,Group8,Colour1,0,8.00,0,0,0,1
55CACD77,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat41,UnitBase163,Gender1,Group8,Colour1,20160307,8.00,1,42,121,0
55CB1852,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group9,Colour2,20160709,3.00,0,0,0,0
55CB2363,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group9,Colour1,0,3.00,0,0,0,1
55CB3278,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group9,Colour8,0,3.00,0,0,0,1
55CB3783,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group9,Colour5,20160628,3.00,0,0,1,0
55CB4092,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group8,Colour8,0,3.00,0,0,0,1
55CB4597,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group8,Colour5,0,3.00,0,0,0,1
55CB5A18,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group10,Colour1,20160223,5.00,2,32,362,0
55CB6125,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group10,Colour2,20160223,5.00,2,33,270,0
55CB7343,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group10,Colour2,20160219,4.00,0,24,208,0
55CB8D69,SeasonA_Y3,Product33,Cycle2,Country2,Biz_unit4,Cat15,SubCat40,UnitBase159,Gender2,Group8,Colour2,20160222,8.00,1,23,233,0
55CB9B83,SeasonA_Y3,Product50,Cycle2,Country1,Biz_unit4,Cat15,SubCat48,UnitBase455,Gender1,Group8,Colour8,0,5.00,0,0,0,1
55CBA189,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group10,Colour5,20160225,4.00,4,10,420,1
55CBA492,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat9,UnitBase165,Gender2,Group10,Colour2,20160214,4.00,0,23,206,0
55CBBD17,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group2,Colour2,20160309,8.00,0,16,78,0
55CBC525,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group2,Colour8,20160301,8.00,2,69,76,0
55CBD238,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit4,Cat10,SubCat12,UnitBase161,Gender1,Group2,Colour2,20160301,9.00,1,171,65,0
55CBF573,SeasonA_Y3,Product10,Cycle2,Country2,Biz_unit4,Cat4,SubCat9,UnitBase14,Gender2,Group2,Colour4,20160211,9.00,4,38,235,0
55CC0488,SeasonA_Y3,Product10,Cycle2,Country2,Biz_unit3,Cat3,SubCat10,UnitBase15,Gender2,Group2,Colour4,20160307,9.00,1,35,210,0
55CC3F47,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group2,Colour2,20160103,5.00,3,92,124,0
55CC5165,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase93,Gender1,Group9,Colour1,20160112,4.00,0,89,163,0
55CC5A74,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase93,Gender1,Group9,Colour2,20160104,4.00,4,66,260,0
55CCED21,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group2,Colour1,20160229,5.00,1,26,149,0
55CCF428,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group2,Colour2,20160229,5.00,1,31,125,0
55CCFF39,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group10,Colour2,20160301,4.00,2,27,135,0
55CD0848,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group10,Colour5,20160304,4.00,5,9,222,0
55CD1056,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group9,Colour2,20160306,3.00,0,1,7,0
55CD1763,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat28,UnitBase160,Gender2,Group9,Colour1,20160502,3.00,0,0,0,0
55CD1E70,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group10,Colour2,20160301,4.00,2,20,133,0
55CE1B23,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase339,Gender2,Group2,Colour5,20160210,11.50,3,20,249,0
55CE7E22,SeasonA_Y3,Product6,Cycle1,Country7,Biz_unit4,Cat4,SubCat9,UnitBase339,Gender2,Group10,Colour7,20160202,9.00,2,44,212,0
55CEB375,SeasonA_Y3,Product2,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase100,Gender2,Group8,Colour1,20151230,9.00,3,50,132,0
55CEBC84,SeasonA_Y3,Product2,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase100,Gender2,Group8,Colour1,20151230,9.00,3,27,213,0
55CF1573,SeasonA_Y3,Product22,Cycle2,Country7,Biz_unit3,Cat3,SubCat10,UnitBase99,Gender2,Group8,Colour11,20160215,6.50,1,78,54,0
55CF3000,SeasonA_Y3,Product43,Cycle2,Country1,Biz_unit4,Cat15,SubCat72,UnitBase456,Gender1,Group9,Colour8,0,2.00,0,0,0,1
55CF3505,SeasonA_Y3,Product43,Cycle2,Country1,Biz_unit4,Cat15,SubCat72,UnitBase456,Gender1,Group9,Colour3,0,2.00,0,0,0,1
55CF5A42,SeasonA_Y3,Product6,Cycle1,Country4,Biz_unit3,Cat3,SubCat8,UnitBase457,Gender1,Group10,Colour2,20160126,5.00,2,102,82,0
55CF9B07,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit3,Cat3,SubCat11,UnitBase431,Gender1,Group2,Colour2,20151230,5.00,3,56,124,0
55CFEA86,SeasonA_Y3,Product1,Cycle1,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group10,Colour2,20160102,3.00,6,121,135,0
55CFF294,SeasonA_Y3,Product1,Cycle1,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group10,Colour5,20160104,3.00,8,95,200,0
55D1CA66,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat11,UnitBase111,Gender2,Group9,Colour9,20151230,3.00,0,65,76,0
55D1DF87,SeasonA_Y3,Product36,Cycle1,Country2,Biz_unit3,Cat3,SubCat6,UnitBase330,Gender1,Group10,Colour2,20151231,6.50,4,26,241,0
55D22355,SeasonA_Y3,Product3,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase343,Gender2,Group2,Colour11,20160223,8.00,2,53,136,0
55D2F868,SeasonA_Y3,Product3,Cycle2,Country1,Biz_unit3,Cat3,SubCat6,UnitBase328,Gender1,Group2,Colour2,20160105,11.50,5,17,283,0
55D35460,SeasonA_Y3,Product11,Cycle2,Country2,Biz_unit3,Cat3,SubCat6,UnitBase84,Gender1,Group8,Colour2,20151230,5.00,0,27,119,0
55D35D69,SeasonA_Y3,Product11,Cycle2,Country2,Biz_unit3,Cat3,SubCat6,UnitBase84,Gender1,Group8,Colour17,20151230,5.00,3,54,97,0
55D36476,SeasonA_Y3,Product11,Cycle2,Country2,Biz_unit3,Cat3,SubCat6,UnitBase84,Gender1,Group8,Colour2,0,5.00,0,0,0,1
55D49E90,SeasonA_Y3,Product1,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase171,Gender1,Group8,Colour2,20160113,5.00,0,36,222,0
55D57000,SeasonA_Y3,Product22,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase101,Gender2,Group9,Colour11,20160209,5.00,2,111,129,0
55D5B973,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit4,Cat4,SubCat12,UnitBase44,Gender1,Group9,Colour11,20160125,5.00,1,41,152,0
55D5E315,SeasonA_Y3,Product26,Cycle2,Country1,Biz_unit3,Cat11,SubCat20,UnitBase114,Gender1,Group2,Colour12,20160106,13.00,6,13,157,0
55D60C56,SeasonA_Y3,Product43,Cycle2,Country1,Biz_unit3,Cat8,SubCat77,UnitBase394,Gender2,Group8,Colour7,20160109,4.00,0,10,141,0
55D62379,SeasonA_Y3,Product3,Cycle2,Country1,Biz_unit4,Cat4,SubCat12,UnitBase156,Gender1,Group2,Colour1,20160218,10.00,0,11,21,0
55D64816,SeasonA_Y3,Product100,Cycle2,Country7,Biz_unit4,Cat4,SubCat12,UnitBase123,Gender1,Group9,Colour11,0,6.50,0,0,0,1
55D6F589,SeasonA_Y3,Product6,Cycle1,Country2,Biz_unit4,Cat4,SubCat9,UnitBase276,Gender2,Group10,Colour4,20151229,5.00,2,49,179,0
55D7C800,SeasonA_Y3,Product1,Cycle2,Country2,Biz_unit4,Cat4,SubCat9,UnitBase167,Gender2,Group8,Colour11,20160112,5.00,0,90,132,0
55D7E125,SeasonA_Y3,Product1,Cycle2,Country2,Biz_unit4,Cat4,SubCat9,UnitBase167,Gender2,Group8,Colour1,20160111,5.00,0,80,129,0
55D7EF39,SeasonA_Y3,Product1,Cycle2,Country2,Biz_unit4,Cat4,SubCat9,UnitBase167,Gender2,Group8,Colour2,20160113,5.00,0,17,213,0
55D80965,SeasonA_Y3,Product22,Cycle2,Country2,Biz_unit4,Cat4,SubCat9,UnitBase167,Gender2,Group8,Colour11,20160126,9.00,2,81,149,0
55D81A82,SeasonA_Y3,Product22,Cycle2,Country2,Biz_unit3,Cat3,SubCat10,UnitBase318,Gender2,Group8,Colour2,20160129,8.00,5,27,134,0
55DA1690,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit3,Cat3,SubCat10,UnitBase120,Gender2,Group2,Colour11,20160215,5.00,1,132,55,0
55EB5B11,SeasonA_Y3,Product6,Cycle2,Country7,Biz_unit4,Cat4,SubCat9,UnitBase276,Gender2,Group2,Colour5,20160223,7.50,2,61,256,0
55EB6521,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit4,Cat4,SubCat9,UnitBase340,Gender2,Group2,Colour5,20160308,12.50,9,5,91,0
55EB6E30,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit4,Cat4,SubCat9,UnitBase340,Gender2,Group2,Colour2,20160209,12.50,2,20,139,0
55EB8048,SeasonA_Y3,Product1,Cycle2,Country7,Biz_unit4,Cat4,SubCat12,UnitBase86,Gender1,Group9,Colour2,20160116,5.00,0,80,127,0
55EB9266,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase115,Gender1,Group9,Colour2,20160125,6.50,1,26,147,0
55EB9B75,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase115,Gender1,Group9,Colour8,20160206,7.50,0,115,125,0
55EBA484,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase115,Gender1,Group9,Colour1,20160205,7.50,0,60,355,0
55EBB602,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase115,Gender1,Group2,Colour13,20160128,9.00,4,33,254,0
55EBC719,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit4,Cat4,SubCat12,UnitBase24,Gender1,Group2,Colour9,20160201,10.00,1,18,184,0
55EBD230,SeasonA_Y3,Product1,Cycle2,Country7,Biz_unit3,Cat3,SubCat11,UnitBase447,Gender1,Group9,Colour13,20160313,6.50,14,14,123,0
55EBD836,SeasonA_Y3,Product1,Cycle2,Country7,Biz_unit3,Cat3,SubCat11,UnitBase447,Gender1,Group9,Colour13,20160313,6.50,14,27,106,0
55EBDE42,SeasonA_Y3,Product36,Cycle2,Country7,Biz_unit3,Cat3,SubCat11,UnitBase414,Gender1,Group8,Colour2,20160219,8.00,0,73,68,0
55EBE448,SeasonA_Y3,Product1,Cycle2,Country5,Biz_unit3,Cat3,SubCat11,UnitBase458,Gender1,Group2,Colour9,20160211,8.00,4,47,122,0
55EBF060,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit3,Cat3,SubCat11,UnitBase102,Gender2,Group10,Colour2,20160111,6.50,0,32,125,0
55EBF666,SeasonA_Y3,Product36,Cycle2,Country7,Biz_unit3,Cat3,SubCat6,UnitBase330,Gender1,Group8,Colour2,20160219,8.00,0,27,280,0
55EBFC72,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit3,Cat3,SubCat6,UnitBase10,Gender1,Group9,Colour1,20160209,6.50,2,15,14,0
55EC0278,SeasonA_Y3,Product3,Cycle2,Country5,Biz_unit3,Cat3,SubCat6,UnitBase10,Gender1,Group9,Colour2,20160212,6.50,5,31,141,0
55EC7C00,SeasonA_Y3,Product6,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase44,Gender1,Group9,Colour8,20160604,4.00,0,0,2,0
55EC9B31,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat6,UnitBase94,Gender1,Group8,Colour2,20160205,4.00,5,39,146,0
55ECA137,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat6,UnitBase94,Gender1,Group8,Colour1,20160201,4.00,1,24,93,0
55ED2468,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase93,Gender1,Group8,Colour11,20160312,5.00,0,44,124,0
55ED7C56,SeasonA_Y3,Product10,Cycle2,Country2,Biz_unit3,Cat3,SubCat11,UnitBase75,Gender2,Group2,Colour2,20160223,8.00,2,8,101,0
55ED9E90,SeasonA_Y3,Product7,Cycle2,Country1,Biz_unit3,Cat3,SubCat8,UnitBase231,Gender2,Group2,Colour9,0,9.00,0,0,0,1
55EDA395,SeasonA_Y3,Product1,Cycle2,Country1,Biz_unit3,Cat3,SubCat8,UnitBase150,Gender2,Group2,Colour9,0,8.00,0,0,0,1
55EDA800,SeasonA_Y3,Product6,Cycle2,Country1,Biz_unit3,Cat3,SubCat8,UnitBase12,Gender1,Group2,Colour9,0,6.50,0,0,0,1
55EDCC36,SeasonA_Y3,Product10,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase77,Gender1,Group9,Colour9,20160208,6.50,1,105,96,0
55EDD646,SeasonA_Y3,Product10,Cycle2,Country2,Biz_unit4,Cat4,SubCat12,UnitBase77,Gender1,Group9,Colour8,20160208,6.50,1,73,183,0
55EE5775,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group9,Colour2,20160113,2.50,0,185,95,0
55EE6084,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group9,Colour11,20160111,2.50,0,133,194,0
55EE6993,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat9,UnitBase95,Gender2,Group9,Colour11,20160111,2.50,0,153,181,0
55EED602,SeasonA_Y3,Product16,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase46,Gender1,Group8,Colour3,20160523,5.00,3,64,288,0
55EEDB07,SeasonA_Y3,Product16,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase46,Gender1,Group8,Colour11,0,5.00,0,0,0,1
55EEE820,SeasonA_Y3,Product16,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase46,Gender1,Group8,Colour9,20160426,5.00,2,308,166,0
55EF1E74,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase93,Gender1,Group9,Colour9,20160208,4.00,1,85,137,0
55EF2783,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase93,Gender1,Group9,Colour1,20160209,4.00,2,160,69,0
55EF4210,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit4,Cat4,SubCat12,UnitBase93,Gender1,Group9,Colour3,20160205,4.00,0,58,135,0
55EF8274,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat10,UnitBase109,Gender2,Group9,Colour2,20160229,2.50,1,115,72,0
55EF8C84,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat10,UnitBase109,Gender2,Group9,Colour2,20160301,2.50,2,62,100,0
55EFBA30,SeasonA_Y3,Product1,Cycle2,Country4,Biz_unit3,Cat3,SubCat8,UnitBase162,Gender2,Group2,Colour8,0,5.00,0,0,0,1
